"filename", "language", "JSON with Comments", "TypeScript", "JSON", "Markdown", "JavaScript", "TypeScript JSX", "XML", "PostCSS", "comment", "blank", "total"
"c:\Users\Gavin\csd-student-dashboard\README.md", "Markdown", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Gavin\csd-student-dashboard\frontend\AGENTS.md", "Markdown", 0, 0, 0, 2, 0, 0, 0, 0, 2, 2, 6
"c:\Users\Gavin\csd-student-dashboard\frontend\CLAUDE.md", "Markdown", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 2
"c:\Users\Gavin\csd-student-dashboard\frontend\README.md", "Markdown", 0, 0, 0, 23, 0, 0, 0, 0, 0, 14, 37
"c:\Users\Gavin\csd-student-dashboard\frontend\app\globals.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 2
"c:\Users\Gavin\csd-student-dashboard\frontend\app\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 29, 0, 0, 0, 8, 37
"c:\Users\Gavin\csd-student-dashboard\frontend\app\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 7, 0, 0, 0, 2, 9
"c:\Users\Gavin\csd-student-dashboard\frontend\components.json", "JSON", 0, 0, 25, 0, 0, 0, 0, 0, 0, 1, 26
"c:\Users\Gavin\csd-student-dashboard\frontend\eslint.config.mjs", "JavaScript", 0, 0, 0, 0, 14, 0, 0, 0, 2, 3, 19
"c:\Users\Gavin\csd-student-dashboard\frontend\lib\utils.ts", "TypeScript", 0, 5, 0, 0, 0, 0, 0, 0, 0, 2, 7
"c:\Users\Gavin\csd-student-dashboard\frontend\next.config.ts", "TypeScript", 0, 4, 0, 0, 0, 0, 0, 0, 1, 3, 8
"c:\Users\Gavin\csd-student-dashboard\frontend\package-lock.json", "JSON", 0, 0, 11412, 0, 0, 0, 0, 0, 0, 1, 11413
"c:\Users\Gavin\csd-student-dashboard\frontend\package.json", "JSON", 0, 0, 33, 0, 0, 0, 0, 0, 0, 1, 34
"c:\Users\Gavin\csd-student-dashboard\frontend\postcss.config.mjs", "JavaScript", 0, 0, 0, 0, 6, 0, 0, 0, 0, 2, 8
"c:\Users\Gavin\csd-student-dashboard\frontend\public\file.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\Gavin\csd-student-dashboard\frontend\public\globe.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\Gavin\csd-student-dashboard\frontend\public\next.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\Gavin\csd-student-dashboard\frontend\public\vercel.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\Gavin\csd-student-dashboard\frontend\public\window.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\Gavin\csd-student-dashboard\frontend\tsconfig.json", "JSON with Comments", 34, 0, 0, 0, 0, 0, 0, 0, 0, 1, 35
"c:\Users\Gavin\csd-student-dashboard\package-lock.json", "JSON", 0, 0, 3043, 0, 0, 0, 0, 0, 0, 1, 3044
"c:\Users\Gavin\csd-student-dashboard\package.json", "JSON", 0, 0, 39, 0, 0, 0, 0, 0, 0, 1, 40
"c:\Users\Gavin\csd-student-dashboard\prisma.config.ts", "TypeScript", 0, 8, 0, 0, 0, 0, 0, 0, 0, 1, 9
"c:\Users\Gavin\csd-student-dashboard\src\index.ts", "TypeScript", 0, 112, 0, 0, 0, 0, 0, 0, 7, 29, 148
"c:\Users\Gavin\csd-student-dashboard\src\prisma.ts", "TypeScript", 0, 10, 0, 0, 0, 0, 0, 0, 0, 5, 15
"c:\Users\Gavin\csd-student-dashboard\tsconfig.json", "JSON with Comments", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15
"Total", "-", 49, 139, 14552, 27, 20, 36, 5, 1, 12, 79, 14920
